epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,31772.2,0.6686,1.24314,0.99156,0.93641,0.64286,0.70462,0.48544,0.98592,1.94422,0.87636,0.000627292,0.000627292,0.000627292
65,32583.4,0.62855,1.18648,0.96582,0.96941,0.91232,0.97944,0.69486,0.98592,1.94422,0.87636,0.000610789,0.000610789,0.000610789
66,32717.6,0.6318,1.14029,1.03179,0.93077,0.57143,0.57651,0.37137,0.92759,1.97953,0.86293,0.000594286,0.000594286,0.000594286
67,32834.1,0.52808,1.02495,0.99668,0.96868,0.99596,0.995,0.70106,0.90051,1.96493,0.85946,0.000577782,0.000577782,0.000577782
68,32900.5,0.53047,0.97114,0.95928,0.95589,0.56774,0.57702,0.35919,0.8642,1.98842,0.85206,0.000561279,0.000561279,0.000561279
69,33012.4,0.59944,1.06964,0.97909,0.91782,0.97588,0.93281,0.62487,0.8642,1.98842,0.85206,0.000544776,0.000544776,0.000544776
70,33099.1,0.53907,0.9908,0.94649,0.90914,0.97727,0.98625,0.68721,0.82989,1.90972,0.82821,0.000528272,0.000528272,0.000528272
71,33212.9,0.53895,1.08563,0.98667,0.80723,0.42857,0.42704,0.29374,0.82258,1.88936,0.81402,0.000511769,0.000511769,0.000511769
72,33317.7,0.56319,1.10277,1.02051,0.7632,0.57143,0.51649,0.36778,0.81583,1.88312,0.81066,0.000495266,0.000495266,0.000495266
73,34387.7,0.59667,1.10208,0.97751,0.80081,0.71274,0.66699,0.48565,0.81583,1.88312,0.81066,0.000478762,0.000478762,0.000478762
74,37442.1,0.52932,0.98841,0.96875,0.79944,0.14286,0.14788,0.11838,0.83059,1.86174,0.80713,0.000462259,0.000462259,0.000462259
75,37564.8,0.5137,0.95376,0.9847,0.89144,0.14286,0.14786,0.11824,0.87905,1.76103,0.82488,0.000445756,0.000445756,0.000445756
76,38578.1,0.5213,0.99209,0.97429,0.91573,0.14286,0.14792,0.11824,0.91076,1.77293,0.85443,0.000429253,0.000429253,0.000429253
77,38692.8,0.5463,0.9531,0.94433,0.89613,0.85714,0.84551,0.62505,0.91076,1.77293,0.85443,0.000412749,0.000412749,0.000412749
78,38763.9,0.57059,0.9884,0.94527,0.90153,0.57143,0.57656,0.38704,0.92164,1.77335,0.83927,0.000396246,0.000396246,0.000396246
79,39783,0.52126,0.97646,0.99872,0.96007,0.85714,0.85553,0.64848,0.90764,1.72519,0.79617,0.000379743,0.000379743,0.000379743
80,39903.9,0.54434,0.95637,1.01801,0.93987,0.57143,0.5765,0.39505,0.896,1.68908,0.79062,0.000363239,0.000363239,0.000363239
81,42286,0.57279,0.97809,0.96821,0.84515,1,0.89719,0.66715,0.896,1.68908,0.79062,0.000346736,0.000346736,0.000346736
82,44052.8,0.44319,0.81002,0.92366,0.92593,0.42857,0.42694,0.30249,0.9016,1.71294,0.79991,0.000330233,0.000330233,0.000330233
83,44158.4,0.5832,1.00774,0.97706,0.9264,0.42857,0.42694,0.29922,0.90244,1.74799,0.80157,0.000313729,0.000313729,0.000313729
84,45192.8,0.42925,0.81003,0.93159,0.92203,0.42857,0.42698,0.29913,0.91763,1.76272,0.81096,0.000297226,0.000297226,0.000297226
85,47101.4,0.52131,0.98179,0.9926,0.95029,0.71429,0.71597,0.50943,0.91763,1.76272,0.81096,0.000280723,0.000280723,0.000280723
86,49672.8,0.54979,0.96302,0.9538,0.93375,0.42857,0.42705,0.29914,0.92971,1.73467,0.80796,0.00026422,0.00026422,0.00026422
87,50725.4,0.51767,0.93794,0.93079,0.94732,0.57143,0.57648,0.39201,0.9163,1.73289,0.80136,0.000247716,0.000247716,0.000247716
88,51327.5,0.47062,0.9101,0.93877,0.93816,0.28571,0.28744,0.21577,0.88564,1.73963,0.79222,0.000231213,0.000231213,0.000231213
89,52479.6,0.5645,0.95742,0.96092,0.96511,0.85714,0.85551,0.64441,0.88564,1.73963,0.79222,0.00021471,0.00021471,0.00021471
90,54495.9,0.44839,0.89066,0.96443,0.94348,0.42857,0.42696,0.31341,0.84916,1.72326,0.7881,0.000198206,0.000198206,0.000198206
91,54972.6,0.84591,1.64901,0.80923,0.92891,0.42857,0.42702,0.30637,0.80086,1.72834,0.78838,0.000181703,0.000181703,0.000181703
92,55004,0.73282,1.58087,0.77972,0.8356,0.98639,0.91531,0.68178,0.77124,1.76183,0.7961,0.0001652,0.0001652,0.0001652
93,55428.7,0.6375,1.52939,0.84079,0.8356,0.98639,0.91531,0.68178,0.77124,1.76183,0.7961,0.000148696,0.000148696,0.000148696
94,55455.7,0.6515,1.56569,0.84023,0.90538,0.9165,0.91726,0.67607,0.73995,1.80963,0.80191,0.000132193,0.000132193,0.000132193
95,56496.7,0.6821,1.62579,0.80049,0.78239,1,0.91726,0.66489,0.71962,1.81206,0.80559,0.00011569,0.00011569,0.00011569
96,57476.5,0.63246,1.59403,0.78422,0.87326,0.92857,0.91726,0.66489,0.7114,1.78843,0.80684,9.91865e-05,9.91865e-05,9.91865e-05
97,57502.1,0.62398,1.57552,0.79698,0.87326,0.92857,0.91726,0.66489,0.7114,1.78843,0.80684,8.26832e-05,8.26832e-05,8.26832e-05
98,57556.7,0.65296,1.577,0.74893,0.88429,0.92857,0.91726,0.67316,0.70914,1.76108,0.80354,6.61799e-05,6.61799e-05,6.61799e-05
99,58596.2,0.69002,1.57501,0.76447,0.91393,0.42857,0.42816,0.3006,0.71188,1.7247,0.79807,4.96766e-05,4.96766e-05,4.96766e-05
100,58695.1,0.66698,1.57208,0.78714,0.95347,0.8535,0.85567,0.63872,0.72365,1.69584,0.79282,3.31733e-05,3.31733e-05,3.31733e-05
